21	chatter away	to talk continuously
21	chirp away	if a bird chirps away, it sings continuously
21	come over sth	if an announcement comes over a public address system, people can hear the announcement
21	die down	if something, especially noise or excitement, dies down, it gradually becomes less loud or strong until it stops
21	drown out sth or drown sth out	if a loud noise drowns out another noise, it prevents it from being heard
21	grate on sb/sth	if something, especially someone's voice or way of behaving, grates on you, it annoys you
21, 59	keep down sth or keep sth down	if you keep the noise of something [e.g. music, voice] down, you stop it from becoming too loud
21	listen out for sth	to make an effort to hear a noise which you are expecting
21	peal out	when bells ring loudly, they peal out
21	shut out sth or shut sth out	to prevent a sound or light from being heard or seen
21	trail off	to gradually become quieter and then stop
22	buoy up sth or buoy sth up	to support something and help to make it more successful
22, 23	cave in	to agree to something that you were against before, after someone has persuaded you or threatened you
22	cheer on sb or cheer sb on	to shout encouraging words at someone, especially a person or team in a race or competition, or to receive encouraging words or shouts
22	come out against	to state publicly that you are opposed to an issue
22	come out in favour of	to state publicly that you support an issue
22	cross over	to start to support a different, often opposing, person or group
22, 23	defer to sb/sth	formal to accept someone else's opinion because they know more than you or are more important than you
22	egg on sb or egg sb on	to encourage someone to do something, often something that is wrong, stupid, or dangerous, or to be encouraged to do something
22	not hear of sth or not hear of sb doing sth	to not allow something, or not allow someone to do something
22	lean towards sth/doing sth	to support, or begin to support, a particular set of ideas or a particular political party
22	side against sb	to oppose a person or group in an argument
22	side with sb	to support a person or group in an argument
22	stick by sth	to continue to support or use a decision, opinion, or plan
22	stick up for sth	to defend or fight for something important [e.g. rights]
22	swear by sth	to believe that something is very effective and that it will always work well
23	agree to	both sides accept something
23	bend to sb/sth	to do something you don't want to do
23	bow to sb/sth	to do something you don't want to do
23, 29	come round to	to agree with somebody else's idea or opinion after a long time thinking about it or discussing it
23	come to (an agreement)	to agree on something after discussion
23	count sb in	to include a person in a plan or activity
23	give in to sth	if when someone spends a long time trying to persuade you to do or agree to something, and you finally agree to it
23	go along with sth/sb	to agree with someone’s idea or opinion
23, 53	go through	if a law, plan, or deal goes through, it is officially accepted or approved
23	hammer out sth or hammer sth out	to reach an agreement after a lot of argument or discussion
23	nail down	informal to make a decision about all the details of something
23	rule out sth or rule sth out	to say no to something
23	settle for	to agree to something which isn’t your first choice
23	settle on sth	to agree on something
23	smooth over sth or smooth sth over	to settle a disagreement so that it’s no longer a problem
23	talk sb out of sth	to persuade someone not to do something
23	talk round sb or talk sb round	to convince somebody to agree to your idea or opinion through a long discussion
23	win round sb or win sb round	to get other people to agree with your idea after a long discussion or argument
24	bat around sth or bat sth around	to talk about a plan or idea and to discuss different ways of dealing with it
24	bounce sth off sb	informal to tell someone about an idea or plan in order to find out what they think of it
24	break down sth or break sth down	to divide information or a piece of work into small parts so that it is easier to understand or deal with
24, 56	come at sth	to think about something in a particular way
24	cotton on	informal to begin to understand a situation or fact
24	go in	informal if a fact or piece of information goes in, you understand it and remember it
24	grapple with sth	to try to deal with or understand a difficult problem or subject
24	leap out at sb	if something leaps out at you, you notice it immediately
24	occur to sb	if a thought or idea occurs to you, it comes into your mind
24	piece together sth or piece sth together	to try to understand a situation or to try to discover the truth about something by collecting different pieces of information and considering them at the same time
24	play with	if you play with the idea of doing something, you consider it, but usually do not do it
24	reflect on sth	slightly formal to think very hard about something, or to express your thoughts about something in what you say or write
24	rough out sth or rough sth out	if you rough out a drawing or an idea, you draw or write the main parts of it without showing the details
24	talk through sth or talk sth through	to discuss all the details of something so that you can understand it or make a decision about it
24	think up sth or think sth up	to create an idea or plan by using your imagination and intelligence
24	thrash out sth or thrash sth out	to discuss a problem, idea or plan in detail until you find a solution, reach an agreement, or make a decision
25	double up as sth	if something designed for one purpose can double up as something else, it can also be used for something else
25	fix up sth or fix sth up	to arrange something [esp. meeting]
25	gather up sth or gather sth up	to collect several things, especially from different places, and put them together
25	gear sth to/towards sth/sb	to design something so that it is suitable for a particular purpose, situation, or group of people
25	hoard away sth or hoard sth away	to put a supply of something in a safe place so that you can use it in the future
25	know sth from sth	to know the difference between something and something else, so that you can recognise either of them
25	line up sth or line sth up	to move something in order to make it straight or level with something else
25	pile up (sth) or pile (sth) up	to become a pile, or to make a lot of things into a pile by putting them on top of each other
25	prop up sth or prop sth up	to make something stay in a particular position by putting something underneath or against it
25	rank (sth) among sth	to have a particular position in a list that has been arranged in order of quality
25	round up sb/sth or round sb/sth up	to find and gather together a group of people or animals
25	see about sth	to deal with something, or to arrange for something to be done
25	separate off sth or separate sth off	to remove something from a large group of things
25	separate out sb/sth or separate sb/sth out	to divide a group of people or things into smaller groups
25	sift through sth	to examine a large collection of something, especially papers, usually in order to discover something or to decide what is important
25	stack up sth or stack sth up	to arrange things in a tall pile
26	amount to sth	become a particular amount
26	average out at sth	to have as the average number
26	balance out	to make things equal
26	bump up sth or bump sth up	informal to increase the size or amount of something [e.g. price] by a large amount
26	fall off	if the amount, rate, or quality of something falls off, it becomes smaller or lower
26	flatten out	if the rate of something flattens out, or if something flattens it out, it stops increasing and decreasing and begins to stay at the same level
26	level off/out	if a rate or amount levels off, it stops rising or falling and it stays at the same level
26	push up sth or push sth up	to increase the amount, number, or value of something
26	round down sth or round sth down	to decrease a number to the nearest whole amount
26	round up sth or round sth up	to increase a number to the nearest whole amount
