1, 22	be at loggerheads
35	at the drop of a hat
35	take your hat off to someone
35	wear lots of different hats
35	have something in the bag
35	keep your shirt on
35	in pocket
35	out of pocket
35	to pocket
35	dig deep into your pockets
35	roll up your sleeves
35	wear the trousers
36	go back to square one
36	be on the ball
36	play ball
36	start the ball rolling
36	the ball is in your court
36	off your own bat
36	your best bet
36	call sb's bluff
36	be on the cards
36	lay/put your cards on the table
36	play your cards right
36	when the chips are down
36	throw a curveball
36	a level playing field
36	follow suit
36	be wide of the mark
36	on the spur of the moment
36	take the plunge
36	put/lay your cards on the table
37	a party animal
37	sb's bark is worse than their bite
37	make a beeline for sb/sth
37	A little bird told me.
37	get/have/take the bit between your teeth
37	the travel bug
37	have butterflies in your stomach
37	chase your tail
37	a cold fish
37	a dark horse
37	a fly on the wall
37	wouldn't hurt a fly
37	give sb free rein
37	a guinea pig
37	have/get/take the bit between your teeth
37	a lone wolf
37	make a real pig of yourself
37	take/get/have the bit between your teeth
38	a dog's breakfast
38	take the bull by the horns
38	not (enough) room to swing a cat
38	run round like a headless chicken
38	go to the dogs
38	put out feelers
38	the law of the jungle
38	snail mail
38	at a snail's pace
39	a chink in your armour
39	be up in arms
39	have an axe to grind
39	fight a losing battle
39	bite the bullet
39, 44	burn your boats/bridges
39	call the shots
39	be caught in the crossfire
39	if/when it comes to the crunch
39	look daggers at
39	be your own worst enemy
39	hold fire
39	be in the firing line
39	jump the gun
39	stick to your guns
39	have a shot at
39	twist the knife
40	whet your appetite
40	bear fruit
40	the best/greatest thing since sliced bread
40	to the bitter end
40	sb's bread and butter
40	have your cake and eat it
40	the icing on the cake
40	be past / past your sell-by date
40	have egg on your face
40	flavour of the month
40	the greatest/best thing since sliced bread
40	have a sweet tooth
40, 53	make sb's mouth water
40	leave a sour taste in the mouth
40	pass your sell-by date
40	be past your sell-by date
40	be past / pass your sell-by date
41	get/go from A to B
41	be (right) up your alley/street
41	an uphill battle/fight/struggle
41	be off the beaten track
41	sb's paths cross
41	at a crossroads
41	a dead end
41	go downhill
41	an uphill fight/battle/struggle
41	hit the road
41	put sth on the map
41	middle-of-the-road
41	off the beaten track
41	be on the right track
41	be on the wrong track
41	road rage
41	be stuck in a rut
41	be (right) up your street/alley
41	an uphill struggle/battle/fight
42	be/feel at home
42	make yourself at home
42	get out of bed on the wrong side
42	take a leaf out of sb's book
42	burn the candle at both ends
